iter    1 | reward:   3 | max_reward:   8 |  update_factor: 0.020000  lr: 0.199000 | sum_coeffs: 190 sum_abs_coeffs: 435200
iter    2 | reward:   6 | max_reward:  11 |  update_factor: 0.019920  lr: 0.198005 | sum_coeffs: 282 sum_abs_coeffs: 439002
iter    3 | reward:   6 | max_reward:  17 |  update_factor: 0.019840  lr: 0.197015 | sum_coeffs: 244 sum_abs_coeffs: 441639
iter    4 | reward:   7 | max_reward:  17 |  update_factor: 0.019761  lr: 0.196030 | sum_coeffs: 330 sum_abs_coeffs: 446567
iter    5 | reward:   8 | max_reward:  22 |  update_factor: 0.019682  lr: 0.195050 | sum_coeffs: 397 sum_abs_coeffs: 452591
iter    6 | reward:  11 | max_reward:  24 |  update_factor: 0.019603  lr: 0.194075 | sum_coeffs: 258 sum_abs_coeffs: 457171
iter    7 | reward:  12 | max_reward:  32 |  update_factor: 0.019524  lr: 0.193104 | sum_coeffs: -23 sum_abs_coeffs: 462494
iter    8 | reward:  17 | max_reward:  34 |  update_factor: 0.019446  lr: 0.192139 | sum_coeffs: 39 sum_abs_coeffs: 467121
iter    9 | reward:  17 | max_reward:  32 |  update_factor: 0.019368  lr: 0.191178 | sum_coeffs: -103 sum_abs_coeffs: 471035
iter   10 | reward:  16 | max_reward:  36 |  update_factor: 0.019291  lr: 0.190222 | sum_coeffs: -140 sum_abs_coeffs: 474036
iter   11 | reward:  19 | max_reward:  31 |  update_factor: 0.019213  lr: 0.189271 | sum_coeffs: -99 sum_abs_coeffs: 477146
iter   12 | reward:  19 | max_reward:  37 |  update_factor: 0.019137  lr: 0.188325 | sum_coeffs: -48 sum_abs_coeffs: 480128
iter   13 | reward:  13 | max_reward:  29 |  update_factor: 0.019060  lr: 0.187383 | sum_coeffs: -80 sum_abs_coeffs: 483649
iter   14 | reward:  20 | max_reward:  41 |  update_factor: 0.018984  lr: 0.186446 | sum_coeffs: -75 sum_abs_coeffs: 485595
iter   15 | reward:  19 | max_reward:  34 |  update_factor: 0.018908  lr: 0.185514 | sum_coeffs: -135 sum_abs_coeffs: 489010
iter   16 | reward:  19 | max_reward:  35 |  update_factor: 0.018832  lr: 0.184586 | sum_coeffs: -301 sum_abs_coeffs: 493961
iter   17 | reward:  19 | max_reward:  41 |  update_factor: 0.018756  lr: 0.183663 | sum_coeffs: -156 sum_abs_coeffs: 497625
iter   18 | reward:  20 | max_reward:  40 |  update_factor: 0.018681  lr: 0.182745 | sum_coeffs: -146 sum_abs_coeffs: 501111
iter   19 | reward:  21 | max_reward:  36 |  update_factor: 0.018607  lr: 0.181831 | sum_coeffs: -232 sum_abs_coeffs: 505180
