iter   46 | reward:  21 | max_reward:  36 |  update_factor: 0.016696  lr: 0.158815 | sum_coeffs: 804 sum_abs_coeffs: 575299
iter   47 | reward:  22 | max_reward:  39 |  update_factor: 0.016630  lr: 0.158021 | sum_coeffs: 709 sum_abs_coeffs: 578325
iter   48 | reward:  20 | max_reward:  35 |  update_factor: 0.016563  lr: 0.157231 | sum_coeffs: 712 sum_abs_coeffs: 580094
iter   49 | reward:  23 | max_reward:  44 |  update_factor: 0.016497  lr: 0.156445 | sum_coeffs: 492 sum_abs_coeffs: 583035
iter   50 | reward:  21 | max_reward:  38 |  update_factor: 0.016431  lr: 0.155663 | sum_coeffs: 409 sum_abs_coeffs: 585510
iter   51 | reward:  22 | max_reward:  40 |  update_factor: 0.016365  lr: 0.154884 | sum_coeffs: 513 sum_abs_coeffs: 587949
iter   52 | reward:  21 | max_reward:  37 |  update_factor: 0.016299  lr: 0.154110 | sum_coeffs: 618 sum_abs_coeffs: 590679
iter   53 | reward:  24 | max_reward:  45 |  update_factor: 0.016234  lr: 0.153339 | sum_coeffs: 670 sum_abs_coeffs: 592307
iter   54 | reward:  24 | max_reward:  42 |  update_factor: 0.016169  lr: 0.152573 | sum_coeffs: 766 sum_abs_coeffs: 594033
iter   55 | reward:  23 | max_reward:  45 |  update_factor: 0.016104  lr: 0.151810 | sum_coeffs: 885 sum_abs_coeffs: 596944
iter   56 | reward:  24 | max_reward:  45 |  update_factor: 0.016040  lr: 0.151051 | sum_coeffs: 810 sum_abs_coeffs: 599569
iter   57 | reward:  22 | max_reward:  46 |  update_factor: 0.015976  lr: 0.150295 | sum_coeffs: 851 sum_abs_coeffs: 601916
iter   58 | reward:  21 | max_reward:  42 |  update_factor: 0.015912  lr: 0.149544 | sum_coeffs: 819 sum_abs_coeffs: 603480
iter   59 | reward:  21 | max_reward:  48 |  update_factor: 0.015848  lr: 0.148796 | sum_coeffs: 810 sum_abs_coeffs: 605019
iter   60 | reward:  23 | max_reward:  42 |  update_factor: 0.015784  lr: 0.148052 | sum_coeffs: 704 sum_abs_coeffs: 607269
iter   61 | reward:  21 | max_reward:  45 |  update_factor: 0.015721  lr: 0.147312 | sum_coeffs: 822 sum_abs_coeffs: 608868
iter   62 | reward:  22 | max_reward:  40 |  update_factor: 0.015658  lr: 0.146575 | sum_coeffs: 644 sum_abs_coeffs: 610757
iter   63 | reward:  21 | max_reward:  38 |  update_factor: 0.015596  lr: 0.145842 | sum_coeffs: 708 sum_abs_coeffs: 613025
iter   64 | reward:  23 | max_reward:  40 |  update_factor: 0.015533  lr: 0.145113 | sum_coeffs: 618 sum_abs_coeffs: 615065
iter   65 | reward:  22 | max_reward:  43 |  update_factor: 0.015471  lr: 0.144388 | sum_coeffs: 612 sum_abs_coeffs: 617144
iter   66 | reward:  18 | max_reward:  48 |  update_factor: 0.015409  lr: 0.143666 | sum_coeffs: 553 sum_abs_coeffs: 618678
iter   67 | reward:  21 | max_reward:  41 |  update_factor: 0.015347  lr: 0.142947 | sum_coeffs: 471 sum_abs_coeffs: 619881
iter   68 | reward:  21 | max_reward:  40 |  update_factor: 0.015286  lr: 0.142233 | sum_coeffs: 460 sum_abs_coeffs: 621455
iter   69 | reward:  22 | max_reward:  41 |  update_factor: 0.015225  lr: 0.141522 | sum_coeffs: 439 sum_abs_coeffs: 623135
iter   70 | reward:  22 | max_reward:  38 |  update_factor: 0.015164  lr: 0.140814 | sum_coeffs: 480 sum_abs_coeffs: 624596
iter   71 | reward:  20 | max_reward:  41 |  update_factor: 0.015103  lr: 0.140110 | sum_coeffs: 473 sum_abs_coeffs: 626770
iter   72 | reward:  23 | max_reward:  41 |  update_factor: 0.015042  lr: 0.139409 | sum_coeffs: 523 sum_abs_coeffs: 628729
iter   73 | reward:  24 | max_reward:  41 |  update_factor: 0.014982  lr: 0.138712 | sum_coeffs: 514 sum_abs_coeffs: 629883
