iter    1 | reward:   0 | max_reward:   2 |  update_factor: 0.040000  lr: 0.199000 | sum_coeffs: -126 sum_abs_coeffs: 7240
iter    2 | reward:   1 | max_reward:  14 |  update_factor: 0.039840  lr: 0.198005 | sum_coeffs: -125 sum_abs_coeffs: 7460
iter    3 | reward:   4 | max_reward:  18 |  update_factor: 0.039680  lr: 0.197015 | sum_coeffs: -105 sum_abs_coeffs: 7605
iter    4 | reward:   4 | max_reward:  15 |  update_factor: 0.039521  lr: 0.196030 | sum_coeffs: -105 sum_abs_coeffs: 7736
iter    5 | reward:   4 | max_reward:  13 |  update_factor: 0.039363  lr: 0.195050 | sum_coeffs: -88 sum_abs_coeffs: 7804
iter    6 | reward:   4 | max_reward:  16 |  update_factor: 0.039206  lr: 0.194075 | sum_coeffs: -99 sum_abs_coeffs: 7873
iter    7 | reward:   2 | max_reward:  15 |  update_factor: 0.039049  lr: 0.193104 | sum_coeffs: -95 sum_abs_coeffs: 7994
iter    8 | reward:   6 | max_reward:  18 |  update_factor: 0.038892  lr: 0.192139 | sum_coeffs: -81 sum_abs_coeffs: 8162
iter    9 | reward:   9 | max_reward:  19 |  update_factor: 0.038737  lr: 0.191178 | sum_coeffs: -125 sum_abs_coeffs: 8298
iter   10 | reward:   8 | max_reward:  16 |  update_factor: 0.038581  lr: 0.190222 | sum_coeffs: -121 sum_abs_coeffs: 8426
iter   11 | reward:   6 | max_reward:  22 |  update_factor: 0.038427  lr: 0.189271 | sum_coeffs: -128 sum_abs_coeffs: 8567
iter   12 | reward:   6 | max_reward:  18 |  update_factor: 0.038273  lr: 0.188325 | sum_coeffs: -132 sum_abs_coeffs: 8724
iter   13 | reward:   8 | max_reward:  18 |  update_factor: 0.038120  lr: 0.187383 | sum_coeffs: -151 sum_abs_coeffs: 8803
iter   14 | reward:  17 | max_reward:  24 |  update_factor: 0.037967  lr: 0.186446 | sum_coeffs: -139 sum_abs_coeffs: 8978
iter   15 | reward:  16 | max_reward:  28 |  update_factor: 0.037815  lr: 0.185514 | sum_coeffs: -152 sum_abs_coeffs: 9123
iter   16 | reward:  17 | max_reward:  37 |  update_factor: 0.037664  lr: 0.184586 | sum_coeffs: -159 sum_abs_coeffs: 9197
iter   17 | reward:  20 | max_reward:  31 |  update_factor: 0.037513  lr: 0.183663 | sum_coeffs: -142 sum_abs_coeffs: 9375
iter   18 | reward:   6 | max_reward:  25 |  update_factor: 0.037363  lr: 0.182745 | sum_coeffs: -155 sum_abs_coeffs: 9496
iter   19 | reward:  18 | max_reward:  36 |  update_factor: 0.037213  lr: 0.181831 | sum_coeffs: -147 sum_abs_coeffs: 9585
