iter   46 | reward:  10 | max_reward:  37 |  update_factor: 0.033393  lr: 0.158815 | sum_coeffs: -462 sum_abs_coeffs: 29608
iter   47 | reward:  17 | max_reward:  38 |  update_factor: 0.033259  lr: 0.158021 | sum_coeffs: -499 sum_abs_coeffs: 29825
iter   48 | reward:   9 | max_reward:  49 |  update_factor: 0.033126  lr: 0.157231 | sum_coeffs: -508 sum_abs_coeffs: 30036
iter   49 | reward:  11 | max_reward:  44 |  update_factor: 0.032993  lr: 0.156445 | sum_coeffs: -554 sum_abs_coeffs: 30199
iter   50 | reward:  14 | max_reward:  67 |  update_factor: 0.032861  lr: 0.155663 | sum_coeffs: -604 sum_abs_coeffs: 30366
iter   51 | reward:  16 | max_reward:  73 |  update_factor: 0.032730  lr: 0.154884 | sum_coeffs: -599 sum_abs_coeffs: 30528
iter   52 | reward:  17 | max_reward:  67 |  update_factor: 0.032598  lr: 0.154110 | sum_coeffs: -611 sum_abs_coeffs: 30611
iter   53 | reward:  19 | max_reward:  53 |  update_factor: 0.032468  lr: 0.153339 | sum_coeffs: -634 sum_abs_coeffs: 30711
iter   54 | reward:   8 | max_reward:  61 |  update_factor: 0.032338  lr: 0.152573 | sum_coeffs: -652 sum_abs_coeffs: 30814
iter   55 | reward:  17 | max_reward:  50 |  update_factor: 0.032208  lr: 0.151810 | sum_coeffs: -702 sum_abs_coeffs: 30980
iter   56 | reward:  18 | max_reward:  74 |  update_factor: 0.032079  lr: 0.151051 | sum_coeffs: -678 sum_abs_coeffs: 31067
iter   57 | reward:   5 | max_reward:  35 |  update_factor: 0.031951  lr: 0.150295 | sum_coeffs: -667 sum_abs_coeffs: 31139
iter   58 | reward:  19 | max_reward:  49 |  update_factor: 0.031823  lr: 0.149544 | sum_coeffs: -722 sum_abs_coeffs: 31310
iter   59 | reward:  12 | max_reward:  42 |  update_factor: 0.031696  lr: 0.148796 | sum_coeffs: -722 sum_abs_coeffs: 31386
iter   60 | reward:   9 | max_reward:  58 |  update_factor: 0.031569  lr: 0.148052 | sum_coeffs: -717 sum_abs_coeffs: 31447
iter   61 | reward:  11 | max_reward:  44 |  update_factor: 0.031442  lr: 0.147312 | sum_coeffs: -693 sum_abs_coeffs: 31588
iter   62 | reward:  10 | max_reward:  27 |  update_factor: 0.031316  lr: 0.146575 | sum_coeffs: -708 sum_abs_coeffs: 31674
iter   63 | reward:  13 | max_reward:  48 |  update_factor: 0.031191  lr: 0.145842 | sum_coeffs: -674 sum_abs_coeffs: 31759
iter   64 | reward:  13 | max_reward:  44 |  update_factor: 0.031066  lr: 0.145113 | sum_coeffs: -689 sum_abs_coeffs: 31917
iter   65 | reward:  15 | max_reward:  41 |  update_factor: 0.030942  lr: 0.144388 | sum_coeffs: -707 sum_abs_coeffs: 32016
iter   66 | reward:  14 | max_reward:  52 |  update_factor: 0.030818  lr: 0.143666 | sum_coeffs: -679 sum_abs_coeffs: 32199
iter   67 | reward:   0 | max_reward:  40 |  update_factor: 0.030695  lr: 0.142947 | sum_coeffs: -680 sum_abs_coeffs: 32356
iter   68 | reward:  14 | max_reward:  54 |  update_factor: 0.030572  lr: 0.142233 | sum_coeffs: -634 sum_abs_coeffs: 32420
iter   69 | reward:  11 | max_reward:  48 |  update_factor: 0.030449  lr: 0.141522 | sum_coeffs: -655 sum_abs_coeffs: 32532
iter   70 | reward:  15 | max_reward:  43 |  update_factor: 0.030327  lr: 0.140814 | sum_coeffs: -645 sum_abs_coeffs: 32671
iter   71 | reward:  10 | max_reward:  55 |  update_factor: 0.030206  lr: 0.140110 | sum_coeffs: -662 sum_abs_coeffs: 32831
iter   72 | reward:  15 | max_reward:  46 |  update_factor: 0.030085  lr: 0.139409 | sum_coeffs: -666 sum_abs_coeffs: 33011
iter   73 | reward:  24 | max_reward:  68 |  update_factor: 0.029964  lr: 0.138712 | sum_coeffs: -654 sum_abs_coeffs: 33100
iter   74 | reward:  11 | max_reward:  48 |  update_factor: 0.029844  lr: 0.138019 | sum_coeffs: -641 sum_abs_coeffs: 33191
iter   75 | reward:  11 | max_reward:  65 |  update_factor: 0.029725  lr: 0.137329 | sum_coeffs: -653 sum_abs_coeffs: 33303
iter   76 | reward:  15 | max_reward:  48 |  update_factor: 0.029606  lr: 0.136642 | sum_coeffs: -671 sum_abs_coeffs: 33414
iter   77 | reward:  19 | max_reward:  81 |  update_factor: 0.029487  lr: 0.135959 | sum_coeffs: -661 sum_abs_coeffs: 33526
iter   78 | reward:  13 | max_reward:  47 |  update_factor: 0.029369  lr: 0.135279 | sum_coeffs: -663 sum_abs_coeffs: 33667
iter   79 | reward:  14 | max_reward:  58 |  update_factor: 0.029252  lr: 0.134603 | sum_coeffs: -676 sum_abs_coeffs: 33733
iter   80 | reward:  10 | max_reward:  41 |  update_factor: 0.029135  lr: 0.133930 | sum_coeffs: -668 sum_abs_coeffs: 33846
iter   81 | reward:   8 | max_reward:  43 |  update_factor: 0.029018  lr: 0.133260 | sum_coeffs: -645 sum_abs_coeffs: 33926
iter   82 | reward:  13 | max_reward:  45 |  update_factor: 0.028902  lr: 0.132594 | sum_coeffs: -644 sum_abs_coeffs: 33971
iter   83 | reward:  15 | max_reward:  45 |  update_factor: 0.028786  lr: 0.131931 | sum_coeffs: -633 sum_abs_coeffs: 34060
iter   84 | reward:  16 | max_reward:  53 |  update_factor: 0.028671  lr: 0.131271 | sum_coeffs: -652 sum_abs_coeffs: 34167
iter   85 | reward:  15 | max_reward:  74 |  update_factor: 0.028556  lr: 0.130615 | sum_coeffs: -682 sum_abs_coeffs: 34310
iter   86 | reward:  26 | max_reward:  83 |  update_factor: 0.028442  lr: 0.129962 | sum_coeffs: -662 sum_abs_coeffs: 34448
iter   87 | reward:  27 | max_reward:  77 |  update_factor: 0.028328  lr: 0.129312 | sum_coeffs: -658 sum_abs_coeffs: 34513
iter   88 | reward:  29 | max_reward:  92 |  update_factor: 0.028214  lr: 0.128665 | sum_coeffs: -687 sum_abs_coeffs: 34586
iter   89 | reward:  24 | max_reward:  73 |  update_factor: 0.028101  lr: 0.128022 | sum_coeffs: -612 sum_abs_coeffs: 34670
iter   90 | reward:  32 | max_reward:  75 |  update_factor: 0.027989  lr: 0.127382 | sum_coeffs: -604 sum_abs_coeffs: 34783
iter   91 | reward:  22 | max_reward:  79 |  update_factor: 0.027877  lr: 0.126745 | sum_coeffs: -575 sum_abs_coeffs: 34931
iter   92 | reward:  23 | max_reward:  53 |  update_factor: 0.027765  lr: 0.126111 | sum_coeffs: -587 sum_abs_coeffs: 35055
iter   93 | reward:  28 | max_reward:  65 |  update_factor: 0.027654  lr: 0.125481 | sum_coeffs: -608 sum_abs_coeffs: 35260
iter   94 | reward:  22 | max_reward:  52 |  update_factor: 0.027543  lr: 0.124853 | sum_coeffs: -609 sum_abs_coeffs: 35399
iter   95 | reward:  22 | max_reward:  63 |  update_factor: 0.027433  lr: 0.124229 | sum_coeffs: -593 sum_abs_coeffs: 35506
iter   96 | reward:  19 | max_reward:  82 |  update_factor: 0.027323  lr: 0.123608 | sum_coeffs: -596 sum_abs_coeffs: 35581
iter   97 | reward:  30 | max_reward:  67 |  update_factor: 0.027214  lr: 0.122990 | sum_coeffs: -573 sum_abs_coeffs: 35659
iter   98 | reward:  24 | max_reward:  70 |  update_factor: 0.027105  lr: 0.122375 | sum_coeffs: -564 sum_abs_coeffs: 35770
iter   99 | reward:  12 | max_reward:  49 |  update_factor: 0.026996  lr: 0.121763 | sum_coeffs: -566 sum_abs_coeffs: 35868
iter  100 | reward:  13 | max_reward:  76 |  update_factor: 0.026888  lr: 0.121154 | sum_coeffs: -556 sum_abs_coeffs: 35996
