-0.163013,0.025422,0.119043
-0.155631,0.033144,0.141149
-0.158690,0.033715,0.135965
-0.157902,0.032725,0.157492
-0.159478,0.035099,0.153131
-0.156759,0.039854,0.151217
-0.152297,0.043978,0.151115
-0.147521,0.051850,0.150766
-0.124071,0.061727,0.180374
-0.120482,0.062915,0.186404
-0.115980,0.055392,0.213813
-0.116015,0.054766,0.215110
-0.116159,0.055556,0.216139
-0.106260,0.061531,0.254852
-0.106985,0.061829,0.252354
-0.100712,0.049992,0.261909
-0.101948,0.051636,0.259041
-0.099333,0.045583,0.271064
-0.167169,0.020860,0.125204
-0.166958,0.018531,0.109268
-0.166068,0.017488,0.096203
-0.161839,0.000417,0.102338
-0.155760,0.010714,0.093596
-0.150255,0.024371,0.113393
-0.149786,0.033031,0.131333
-0.167208,0.020807,0.125015
-0.166686,0.021178,0.110152
-0.165997,0.022473,0.099119
-0.165674,0.022000,0.089151
-0.164927,0.021068,0.078299
-0.154697,0.026662,0.110954
-0.157818,0.032284,0.102506
-0.124437,0.067649,0.137125
-0.123437,0.062588,0.167062
-0.117282,0.054714,0.212628
-0.106045,0.072650,0.217546
-0.107471,0.069172,0.217528
-0.108767,0.068498,0.215910
-0.111874,0.066069,0.212033
-0.113318,0.064054,0.211149
-0.114438,0.061598,0.210857
-0.117042,0.054867,0.212216
-0.130298,0.045413,0.199724
-0.129368,0.047443,0.199632
-0.121666,0.065395,0.203591
-0.124477,0.066203,0.184596
-0.124905,0.066948,0.182710
-0.124251,0.073021,0.177344
-0.120209,0.075513,0.180627
-0.116398,0.077520,0.178607
-0.119713,0.055653,0.200780
-0.124157,0.054083,0.197073
-0.113420,0.059342,0.224052
-0.112201,0.058376,0.225884
-0.106872,0.049231,0.244014
-0.108519,0.052941,0.234584
-0.167347,0.020702,0.125431
-0.166384,0.022141,0.111237
-0.166396,0.022042,0.101222
-0.165520,0.022726,0.089071
-0.165415,0.020889,0.077268
-0.164026,0.015365,0.061516
-0.157359,0.005709,0.092615
-0.157583,0.018985,0.106104
-0.155007,0.025467,0.122779
-0.157532,0.030307,0.119773
-0.157498,0.031678,0.118393
-0.149339,0.039192,0.146345
-0.149187,0.043385,0.141262
-0.145686,0.052561,0.137108
-0.142032,0.055854,0.135405
-0.134397,0.064810,0.135983
-0.124802,0.078392,0.175679
-0.167187,0.020782,0.125157
-0.152174,0.027955,0.141991
-0.153356,0.029263,0.133501
-0.154502,0.030165,0.123045
-0.156333,0.030393,0.101198
-0.156701,0.029810,0.095232
-0.158005,0.029781,0.085840
-0.167250,0.020886,0.125203
-0.156387,0.049965,0.161253
-0.158919,0.050188,0.154520
-0.159081,0.050550,0.147337
-0.159167,0.050629,0.139374
-0.159303,0.050262,0.127509
-0.159154,0.048027,0.117403
-0.158807,0.046755,0.112983
-0.158360,0.042892,0.106742
-0.152594,0.037372,0.137536
-0.148239,0.036441,0.165146
-0.149172,0.035819,0.170013
-0.146166,0.039818,0.151567
-0.145533,0.045570,0.159455
-0.135252,0.054653,0.161697
-0.139271,0.049580,0.148796
-0.135471,0.044886,0.164895
-0.136765,0.047301,0.157320
-0.146804,0.038547,0.136124
-0.135030,0.044847,0.125715
-0.115874,0.064055,0.126246
